{'name': 'kworker/R-blkcg', 'ppid': 2, 'pid': 100, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/8:1-events', 'ppid': 2, 'pid': 101, 'username': 'root', 'status': 'idle'}
{'name': 'irq/9-acpi', 'ppid': 2, 'pid': 102, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/1:1-events', 'ppid': 2, 'pid': 103, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-tpm_d', 'ppid': 2, 'pid': 104, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-ata_s', 'ppid': 2, 'pid': 105, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-md', 'ppid': 2, 'pid': 106, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-md_bi', 'ppid': 2, 'pid': 107, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-edac-', 'ppid': 2, 'pid': 108, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-devfr', 'ppid': 2, 'pid': 109, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/9:1-events', 'ppid': 2, 'pid': 110, 'username': 'root', 'status': 'idle'}
{'name': 'watchdogd', 'ppid': 2, 'pid': 111, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/8:1H-events_highpri', 'ppid': 2, 'pid': 113, 'username': 'root', 'status': 'idle'}
{'name': 'kswapd0', 'ppid': 2, 'pid': 114, 'username': 'root', 'status': 'sleeping'}
{'name': 'ecryptfs-kthread', 'ppid': 2, 'pid': 115, 'username': 'root', 'status': 'sleeping'}
{'name': 'kworker/R-kthro', 'ppid': 2, 'pid': 117, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/2:1-events', 'ppid': 2, 'pid': 118, 'username': 'root', 'status': 'idle'}
{'name': 'kworker/R-acpi_', 'ppid': 2, 'pid': 119, 'username': 'root', 'status': 'idle'}
{'name': 'hwrng', 'ppid': 2, 'pid': 121, 'username': 'root', 'status': 'sleeping'}
